OrderID,CustomerID,ItemID,TransactionDate,Channel
0,0,352,2020-03-21,In Store
0,0,3433,2020-07-14,In Store
0,0,11162,2020-08-09,In Store
0,0,13011,2020-12-07,In Store
0,0,13885,2020-11-08,In Store
1,0,1867,2020-05-19,In Store
1,0,16495,2020-01-24,In Store
2,0,1653,2020-09-24,Online
2,0,2520,2020-02-06,Online
2,0,5117,2020-04-27,Online
2,0,11945,2020-01-22,Online
2,0,13782,2020-03-21,Online
3,0,225,2020-03-09,In Store
3,0,3440,2020-03-03,In Store
3,0,14961,2020-01-08,In Store
3,0,15833,2020-06-12,In Store
4,0,15670,2020-05-03,In Store
5,0,1333,2020-07-23,Online
5,0,7528,2020-07-21,Online
5,0,12125,2020-07-10,Online
6,0,9393,2020-03-12,In Store
6,0,15455,2020-11-14,In Store
7,0,6376,2020-01-25,In Store
8,0,2192,2020-05-13,In Store
8,0,4783,2020-02-15,In Store
8,0,14517,2020-07-17,In Store
9,0,1413,2020-11-12,In Store
9,0,5430,2020-06-11,In Store
9,0,6322,2020-12-23,In Store
9,0,12216,2020-04-15,In Store
10,0,7423,2020-01-12,Online
10,0,12142,2020-10-01,Online
10,0,14970,2020-05-11,Online
11,0,13988,2020-10-12,Online
11,0,15634,2020-05-25,Online
12,0,1204,2020-12-07,Online
12,0,2249,2020-04-03,Online
12,0,17475,2020-03-08,Online
13,0,9793,2020-01-24,In Store
13,0,11173,2020-01-16,In Store
13,0,15213,2020-01-23,In Store
13,0,16629,2020-11-15,In Store
13,0,17585,2020-07-15,In Store
14,0,7369,2020-12-22,Online
14,0,10461,2020-05-23,Online
15,1,12212,2020-04-11,Online
16,1,1071,2020-04-15,Online
16,1,9029,2020-09-23,Online
16,1,9418,2020-04-07,Online
16,1,16301,2020-11-16,Online
16,1,17330,2020-11-22,Online
17,1,12051,2020-12-15,Online
17,1,15469,2020-02-23,Online
18,1,10774,2020-12-10,In Store
18,1,16126,2020-09-19,In Store
19,1,7244,2020-12-01,Online
19,1,8764,2020-09-19,Online
19,1,9912,2020-10-19,Online
19,1,14429,2020-11-12,Online
20,1,1743,2020-01-06,In Store
20,1,6044,2020-04-18,In Store
20,1,11807,2020-09-18,In Store
21,1,5067,2020-09-08,In Store
21,1,5655,2020-05-24,In Store
22,1,16675,2020-01-19,In Store
23,1,7048,2020-05-06,Online
23,1,10646,2020-11-01,Online
23,1,12537,2020-10-03,Online
24,1,7563,2020-07-11,Online
24,1,8935,2020-02-06,Online
24,1,9572,2020-07-03,Online
24,1,10484,2020-04-14,Online
25,1,10489,2020-08-16,In Store
25,1,13064,2020-08-10,In Store
26,1,6864,2020-09-21,In Store
26,1,7679,2020-05-11,In Store
26,1,10577,2020-07-14,In Store
26,1,15727,2020-07-18,In Store
27,1,11295,2020-11-06,In Store
27,1,16393,2020-11-09,In Store
27,1,16951,2020-06-18,In Store
27,1,17761,2020-08-20,In Store
28,1,7938,2020-02-05,Online
28,1,12301,2020-02-10,Online
29,2,3377,2020-07-02,Online
29,2,14932,2020-11-12,Online
29,2,15684,2020-08-03,Online
30,2,5799,2020-10-07,Online
30,2,15550,2020-02-16,Online
30,2,17305,2020-09-20,Online
31,2,549,2020-03-06,In Store
31,2,5806,2020-06-23,In Store
31,2,6460,2020-02-07,In Store
31,2,13313,2020-04-01,In Store
31,2,17569,2020-10-19,In Store
32,2,5081,2020-03-23,In Store
32,2,9363,2020-11-12,In Store
33,2,6742,2020-12-11,In Store
33,2,12988,2020-10-12,In Store
34,2,3729,2020-07-08,In Store
34,2,3989,2020-12-05,In Store
35,2,727,2020-09-03,Online
35,2,6702,2020-07-26,Online
35,2,10815,2020-04-21,Online
35,2,16540,2020-04-16,Online
36,3,2894,2020-07-23,In Store
36,3,8987,2020-11-01,In Store
37,3,1986,2020-06-10,Online
37,3,7647,2020-05-08,Online
37,3,11496,2020-03-17,Online
37,3,14147,2020-01-21,Online
37,3,16984,2020-12-08,Online
38,3,1417,2020-12-08,In Store
38,3,13608,2020-08-12,In Store
38,3,13707,2020-07-25,In Store
39,3,3655,2020-11-07,Online
39,3,8530,2020-03-14,Online
39,3,15438,2020-03-11,Online
40,3,3481,2020-01-22,In Store
40,3,3975,2020-07-05,In Store
40,3,6259,2020-11-01,In Store
40,3,11903,2020-02-04,In Store
41,3,13606,2020-09-03,In Store
41,3,15042,2020-12-20,In Store
42,4,3250,2020-07-13,Online
42,4,10543,2020-10-15,Online
42,4,11884,2020-10-19,Online
42,4,14827,2020-05-05,Online
43,4,5114,2020-06-19,In Store
43,4,11495,2020-05-16,In Store
43,4,12329,2020-10-17,In Store
43,4,16001,2020-10-26,In Store
44,4,3916,2020-10-25,Online
44,4,6416,2020-09-27,Online
45,4,60,2020-12-22,Online
45,4,4189,2020-08-22,Online
45,4,9639,2020-10-25,Online
45,4,11774,2020-01-09,Online
46,4,2799,2020-04-10,In Store
46,4,14435,2020-09-10,In Store
46,4,14687,2020-10-04,In Store
47,4,78,2020-09-18,In Store
47,4,11608,2020-05-16,In Store
48,4,4390,2020-05-12,In Store
48,4,17438,2020-04-04,In Store
49,4,7081,2020-06-19,In Store
49,4,7176,2020-10-16,In Store
50,4,3974,2020-11-02,Online
50,4,7288,2020-09-23,Online
50,4,12859,2020-06-15,Online
51,4,5505,2020-10-15,Online
51,4,7897,2020-10-24,Online
51,4,8882,2020-03-04,Online
51,4,10578,2020-12-01,Online
52,4,10926,2020-07-02,Online
52,4,11970,2020-10-17,Online
52,4,12095,2020-11-13,Online
52,4,15701,2020-10-07,Online
53,4,6607,2020-11-18,In Store
53,4,9645,2020-06-12,In Store
53,4,11826,2020-10-11,In Store
53,4,16254,2020-03-04,In Store
54,4,751,2020-11-02,Online
54,4,1765,2020-03-22,Online
54,4,4296,2020-11-17,Online
54,4,4351,2020-06-23,Online
54,4,17838,2020-07-16,Online
55,4,75,2020-04-18,Online
55,4,2394,2020-02-15,Online
55,4,3390,2020-01-10,Online
55,4,6123,2020-10-11,Online
55,4,15927,2020-09-24,Online
56,5,5338,2020-12-04,In Store
56,5,14757,2020-01-02,In Store
57,5,3327,2020-06-07,In Store
57,5,12388,2020-06-18,In Store
58,5,1892,2020-12-22,In Store
58,5,4669,2020-02-12,In Store
58,5,7501,2020-05-26,In Store
58,5,11593,2020-05-09,In Store
59,5,5158,2020-04-04,In Store
59,5,5164,2020-03-03,In Store
59,5,12393,2020-03-11,In Store
60,5,193,2020-06-12,Online
60,5,6289,2020-05-12,Online
60,5,11451,2020-10-16,Online
60,5,13477,2020-11-12,Online
61,5,4431,2020-11-13,Online
61,5,5364,2020-02-21,Online
62,5,2681,2020-12-05,Online
62,5,9093,2020-03-19,Online
62,5,10363,2020-09-20,Online
63,5,8277,2020-02-14,Online
63,5,14966,2020-04-27,Online
63,5,14993,2020-07-12,Online
64,5,14109,2020-06-07,In Store
65,5,2740,2020-08-18,Online
65,5,11729,2020-06-01,Online
66,5,7421,2020-08-16,Online
66,5,11688,2020-02-17,Online
66,5,12103,2020-09-22,Online
66,5,16198,2020-02-16,Online
67,5,8482,2020-11-26,In Store
67,5,11595,2020-03-23,In Store
67,5,13271,2020-10-01,In Store
68,5,12055,2020-01-04,Online
69,5,2355,2020-05-23,In Store
70,5,3420,2020-05-04,In Store
70,5,9322,2020-04-11,In Store
70,5,13022,2020-03-04,In Store
70,5,14935,2020-08-25,In Store
71,5,1481,2020-01-10,Online
71,5,9614,2020-07-18,Online
72,5,3419,2020-05-25,Online
72,5,7480,2020-02-22,Online
72,5,15721,2020-07-20,Online
73,5,10082,2020-07-06,In Store
73,5,13574,2020-12-17,In Store
73,5,16695,2020-12-10,In Store
74,6,5622,2020-11-15,Online
74,6,8195,2020-08-25,Online
74,6,10058,2020-09-02,Online
74,6,11184,2020-08-06,Online
74,6,16034,2020-04-14,Online
75,6,759,2020-04-15,Online
75,6,9631,2020-11-05,Online
76,6,1232,2020-03-09,Online
76,6,3563,2020-12-24,Online
76,6,16281,2020-07-22,Online
77,6,3082,2020-03-19,In Store
77,6,4212,2020-10-07,In Store
77,6,6650,2020-05-01,In Store
77,6,8929,2020-03-08,In Store
77,6,17464,2020-12-25,In Store
78,6,5214,2020-07-22,Online
78,6,6386,2020-03-25,Online
78,6,14318,2020-01-15,Online
79,6,7230,2020-04-27,In Store
79,6,13582,2020-02-09,In Store
79,6,14013,2020-04-17,In Store
79,6,14501,2020-11-07,In Store
79,6,16090,2020-04-20,In Store
80,6,2434,2020-04-03,In Store
81,6,2180,2020-10-21,Online
81,6,2678,2020-10-27,Online
81,6,12011,2020-06-27,Online
81,6,14592,2020-01-14,Online
82,7,5031,2020-06-11,In Store
82,7,10347,2020-08-25,In Store
83,7,1259,2020-06-08,Online
83,7,1568,2020-02-26,Online
83,7,1754,2020-08-20,Online
83,7,10878,2020-10-09,Online
84,7,629,2020-06-21,Online
84,7,3657,2020-04-06,Online
84,7,4201,2020-04-17,Online
84,7,9270,2020-10-03,Online
84,7,14766,2020-11-11,Online
85,7,634,2020-03-21,In Store
85,7,9495,2020-05-24,In Store
85,7,9708,2020-12-02,In Store
85,7,14328,2020-08-22,In Store
86,7,414,2020-03-22,Online
86,7,4568,2020-07-03,Online
86,7,9377,2020-09-01,Online
87,7,1553,2020-06-01,Online
88,8,16044,2020-09-10,In Store
89,8,4694,2020-01-16,In Store
89,8,15099,2020-10-13,In Store
90,8,8180,2020-09-21,In Store
90,8,12193,2020-12-18,In Store
90,8,15004,2020-04-22,In Store
91,8,7142,2020-04-27,Online
92,8,1189,2020-12-13,Online
92,8,5446,2020-11-07,Online
93,8,766,2020-02-03,Online
93,8,7105,2020-01-18,Online
93,8,8120,2020-08-23,Online
93,8,13369,2020-06-18,Online
94,8,4649,2020-06-26,Online
95,8,117,2020-11-24,Online
95,8,1804,2020-03-02,Online
95,8,13184,2020-03-19,Online
95,8,16916,2020-06-02,Online
96,8,2111,2020-06-02,Online
96,8,7882,2020-11-23,Online
96,8,13074,2020-08-08,Online
96,8,14503,2020-12-25,Online
97,8,2725,2020-04-06,In Store
97,8,6670,2020-02-27,In Store
97,8,13602,2020-02-03,In Store
98,9,2248,2020-06-25,In Store
98,9,3736,2020-04-19,In Store
98,9,9907,2020-06-25,In Store
98,9,10265,2020-09-18,In Store
99,9,485,2020-12-07,In Store
99,9,3917,2020-03-15,In Store
99,9,4665,2020-08-09,In Store
100,9,15279,2020-01-13,In Store
101,9,2546,2020-09-13,In Store
101,9,4868,2020-03-12,In Store
101,9,8926,2020-01-09,In Store
101,9,12671,2020-09-18,In Store
102,9,3091,2020-08-24,Online
102,9,4422,2020-12-07,Online
103,9,601,2020-10-08,Online
103,9,768,2020-10-17,Online
103,9,853,2020-02-24,Online
103,9,17660,2020-10-26,Online
104,9,8813,2020-03-06,In Store
104,9,10812,2020-06-14,In Store
104,9,17013,2020-02-23,In Store
104,9,17057,2020-02-16,In Store
105,9,3210,2020-08-26,Online
105,9,14021,2020-05-21,Online
106,9,4225,2020-03-15,Online
106,9,14108,2020-02-18,Online
107,9,11540,2020-11-03,In Store
108,9,8759,2020-01-06,In Store
108,9,11021,2020-04-21,In Store
108,9,15020,2020-11-01,In Store
108,9,15996,2020-11-26,In Store
109,9,7374,2020-09-09,In Store
109,9,12659,2020-12-15,In Store
109,9,17541,2020-07-16,In Store
110,9,3241,2020-11-21,In Store
110,9,8817,2020-06-14,In Store
110,9,10412,2020-02-24,In Store
110,9,13868,2020-02-08,In Store
111,9,4644,2020-02-20,In Store
111,9,15971,2020-12-15,In Store
112,9,356,2020-02-11,Online
112,9,5640,2020-06-13,Online
112,9,14712,2020-06-05,Online
112,9,17416,2020-07-15,Online
113,9,2434,2020-11-10,Online
114,10,383,2020-07-10,Online
114,10,594,2020-10-08,Online
115,10,5030,2020-06-23,Online
115,10,7285,2020-12-03,Online
115,10,13674,2020-04-25,Online
115,10,15710,2020-12-09,Online
116,10,756,2020-08-08,In Store
116,10,1680,2020-02-26,In Store
116,10,3753,2020-03-11,In Store
117,10,14685,2020-01-01,In Store
117,10,15349,2020-08-27,In Store
118,10,14126,2020-06-20,In Store
118,10,17738,2020-02-13,In Store
119,10,2307,2020-08-19,In Store
119,10,3549,2020-12-14,In Store
119,10,15884,2020-03-22,In Store
119,10,16903,2020-01-17,In Store
120,10,1874,2020-05-16,Online
120,10,15103,2020-07-06,Online
120,10,17533,2020-02-09,Online
121,10,3418,2020-08-14,In Store
121,10,11286,2020-10-20,In Store
122,10,8298,2020-06-03,In Store
