ItemID,Product,Brand,SellPrice,CostPrice
1,032irview0.686128260621012,"Ki)D3jDmA,RIP68X",943,359
2,070ttream0.518887735674677,GO4582ey<S!+k1VE,717,207
3,070htream0.333307794468401,G.Kb^jz*soY!(-4Q,739,199
4,100Grseys0.271522111052549,Dr|vm[-5p~56Y\mk,532,262
5,100[nside0.645837365801341,Dr|vm[-5p~56Y\mk,593,392
6,101Hition0.428000735843647,LaX{ty9j_zZdD-\`,1098,110
7,101Tation0.58144832266657,Bap5U9):Zyo)!(Y0,434,164
8,101s-info0.671227295694652,"LN=p+iC[&z'G,t&/",524,406
9,101clease0.915823550778048,"Ac8IJsKH,4xtY.Tk",586,231
10,101Dlease0.745305177696334,SSJ%#@$7LTf<p'Jx,465,256
11,101Q-week0.370225077449233,"PaEhhlt""U6s0p86y",1121,80
12,101W-info0.814078992987125,"LN=p+iC[&z'G,t&/",1387,168
13,101G-info0.94681563230004,Maevr\_tD1no%#F+,1358,450
14,101C-info0.974274363285455,NiPea$n|Eu@<@>'L,1103,452
15,101]rce-10.242576440354746,NiPea$n|Eu@<@>'L,1291,189
16,101Kliams0.340353199113213,LoKJpH;=G;UE7gvS,440,148
17,11-Pollab0.461435396979507,"PaEhhlt""U6s0p86y",1059,416
18,17-Id-day0.881755395091463,N.H^R.qawW(VS/um,790,340
19,195ef-one0.581252589466607,"Au~batJ,;f.6lL:q",384,98
20,195lction0.0671003825064809,JaIS6OYdUP=T>{9I,504,333
21,197zginal0.0374548006914871,"Au~batJ,;f.6lL:q",988,436
22,198import0.185194638074351,"Au~batJ,;f.6lL:q",865,470
23,199Gailer0.647678041378019,Me}_[8WU)-c8ZZ5C,304,223
24,199kassic0.148714723999901,"Au~batJ,;f.6lL:q",553,150
25,2-cPvideo0.38275593287073,2 hm/2RXIh_kfkzp,569,337
26,2-cMwatch0.426712546357366,2 hm/2RXIh_kfkzp,931,90
27,2-ceement0.0351629936642824,2 hm/2RXIh_kfkzp,605,109
28,201_-info0.0379437658715687,"Au~batJ,;f.6lL:q",123,93
29,202hoenix0.747467506367503,"JoZ8Rw*(HZY,C[`W",551,48
30,202Stwigs0.920946364931357,BRg:W)qA>mtljJhf,1378,462
31,202cricch0.246763958725388,Es~5dFv&1Y>'<vOe,1232,306
32,202R-19170.313630136147684,"MouDd/fn,XEARhBp",706,442
33,202llizzo0.67793897657604,Grr4p:f&2*j~lVD,1189,452
34,202Lussle0.878936020713071,Grr4p:f&2*j~lVD,531,320
35,202nrande0.867582396610235,"Ae*glQHl(#*8fc.,",892,174
36,202g-list0.190817846305295,Tax<D<H{`t:I^{4*,1330,98
37,202Vunmpo0.730381614168138,Lewb'M9#k[Lmc@tJ,933,279
38,202w-list0.382471251038738,OswisUcmdPhe^YZ|,806,290
39,202Lon-ho0.630326939818997,"MouDd/fn,XEARhBp",1090,488
40,202Xition0.42700707003631,Ol}szHnJOGhmVc[%,604,334
41,24kx-info0.513770690759151,K-#YTGr*E>n&1{np,682,380
42,45rB-20200.548846646526832,Beq%eV;7dW|B%4B,1228,60
43,7-m^lease0.539409418009175,"Hi8B2pV%U5#w=,~[",481,327
44,777ilease0.128148222305678,"Ac8IJsKH,4xtY.Tk",733,485
45,88rjlease0.293869316130583,Ha%9u0(F^M|Pyx?,569,401
46,a-ceation0.207783439968675,Saa0_@]VcDYZ@r_U,720,437
47,a-cI-ross0.66522107867465,Miv&}qZ>w}!dmA2J,576,324
48,a-cdation0.841290411426189,Saa0_@]VcDYZ@r_U,1152,413
49,a-pVogden0.674371221849779,Je_h6'934cKbQ3m1,899,70
50,a-qXailer0.39660536369098,"MouDd/fn,XEARhBp",444,111
51,a24Mailer0.901488561937628,"MouDd/fn,XEARhBp",775,173
52,aapO-info0.74826162545636,"Ac8IJsKH,4xtY.Tk",188,148
53,aaripsule0.0840427528020523,FeUN(1^>@V@m>bN,387,81
54,abbUanman0.0320742397141061,"muy(D#""d02`vwt_^",1367,467
55,abcvjones0.305511075109644,Ji4'@FF/kMT0CY'I,796,310
56,acaatless0.766170314826783,OswisUcmdPhe^YZ|,1144,106
57,aceqtails0.687793787008749,Ac6a_>dGR|?IcKvh,674,237
58,acnU-week0.376735413638528,"PaEhhlt""U6s0p86y",1262,239
59,actP-duty0.414294910353073,Go`Y%6ru`GH.<.m,787,74
60,adauworks0.355154149875504,"PrK4o:,^(M""#Y|yJ",137,84
61,adaXtream0.959788802707416,"ShnX2Sh_#MeXG}""r",182,51
62,adatvideo0.837896027023407,VipZx1>S^s?}%X(},664,403
63,adeAlease0.890962971056671,"Ac8IJsKH,4xtY.Tk",1050,287
64,adii-info0.802306328135068,ad(;%f6iD'}9EHD[,345,174
65,aditorway0.401294909378705,ad(;%f6iD'}9EHD[,419,414
66,adil-info0.0179685871444485,ad(;%f6iD'}9EHD[,784,294
67,adiq-info0.912777551492117,ad(;%f6iD'}9EHD[,915,211
68,adih-hill0.870344373673637,ad(;%f6iD'}9EHD[,1112,192
69,adiP-info0.525678966486635,ad(;%f6iD'}9EHD[,637,192
70,adijtails0.324389576642197,AdwEVM+.Jd|`}^7E,921,101
71,adi[lease0.359030317846653,ad(;%f6iD'}9EHD[,315,211
72,adiy-date0.481464291897846,ad(;%f6iD'}9EHD[,1087,66
73,adiRretro0.465450611249924,ad(;%f6iD'}9EHD[,369,351
74,adiqaffle0.479624366581638,adgk-a@1D!Aw8\Z`,760,476
75,adiI-info0.026708014459934,"Ac8IJsKH,4xtY.Tk",128,92
76,adiKretro0.012554599893464,adgk-a@1D!Aw8\Z`,415,131
77,adiplease0.466562697187927,ad(;%f6iD'}9EHD[,538,480
78,adig-look0.509912013787099,adgk-a@1D!Aw8\Z`,450,402
79,adir-info0.878440765339524,ad(;%f6iD'}9EHD[,757,285
80,adiNation0.985841037066816,AdwEVM+.Jd|`}^7E,820,163
81,adiration0.914106516573768,ad(;%f6iD'}9EHD[,677,374
82,adig-info0.595735704898681,ad(;%f6iD'}9EHD[,348,310
83,adihation0.300954029645394,ad(;%f6iD'}9EHD[,894,396
84,adio-info0.846132508512756,ad(;%f6iD'}9EHD[,256,201
85,adiq-info0.422757336893946,ad(;%f6iD'}9EHD[,967,355
86,adiclease0.112577270245515,ad(;%f6iD'}9EHD[,617,159
87,adiSlease0.953574906895191,ad(;%f6iD'}9EHD[,408,280
88,adis-info0.028794245530448,ad(;%f6iD'}9EHD[,588,226
89,adiA677990.322695848939703,ad(;%f6iD'}9EHD[,593,264
90,adiR-info0.346641543392046,ad(;%f6iD'}9EHD[,774,52
91,adiY-west0.0893406132838238,ad(;%f6iD'}9EHD[,540,493
92,adibx90330.350795344947467,ad(;%f6iD'}9EHD[,634,77
93,adiqx90330.877828760554732,ad(;%f6iD'}9EHD[,528,281
94,adiO-look0.4666691713606,ad(;%f6iD'}9EHD[,1371,152
95,adib-info0.733399491906396,ad(;%f6iD'}9EHD[,558,392
96,adiR-look0.915905653706523,ad(;%f6iD'}9EHD[,544,460
97,adie-info0.563376299225008,ad(;%f6iD'}9EHD[,553,71
98,adiP-info0.532414667317193,ad(;%f6iD'}9EHD[,525,449
99,adij-info0.389841654694623,ad(;%f6iD'}9EHD[,1078,429
100,adiClease0.607807326305328,ad(;%f6iD'}9EHD[,917,425
101,adiF-info0.991999717617609,ad(;%f6iD'}9EHD[,635,208
102,adiP-info0.325261665544386,ad(;%f6iD'}9EHD[,761,148
103,adiX-info0.83744231251478,ad(;%f6iD'}9EHD[,195,139
104,adixation0.7532767148109,ad(;%f6iD'}9EHD[,570,261
105,afeivideo0.689996614164881,RaV_z]6m-#jYpqjG,344,240
106,ahlRacket0.834626210612786,Fal;1}_2#KO&<XZA,1150,343
107,ahlsstage0.569485387424743,"Lo|)3[H_;]7O,pJ#",1233,68
108,aietkbook0.833440629924748,Nep:Wf;yaJS*l|pZ,726,378
109,aimpement0.836828909594063,"PoAqnL=>P9Qb""ZUa",595,371
110,airO-info0.0679570821600094,"Jo?$J}r_""0#/!m:",466,248
111,airr-info0.106651788437025,"Jo?$J}r_""0#/!m:",1148,362
112,airN-info0.304724776985128,"Jo?$J}r_""0#/!m:",574,298
113,airr-info0.152214188868463,"Jo?$J}r_""0#/!m:",827,160
114,airk-info0.359457251070036,"Jo?$J}r_""0#/!m:",519,101
115,air^-date0.290640300924176,"Jo?$J}r_""0#/!m:",544,479
116,airO-info0.859088538363858,"Jo?$J}r_""0#/!m:",224,164
117,airE-info0.921731826346439,"Jo?$J}r_""0#/!m:",645,366
118,airr-info0.412855817069412,"Jo?$J}r_""0#/!m:",892,222
119,aitWeaser0.292987788759606,Ai\Png2GS.?Gv[AO,1166,285
